Nome file,Dimensione,Cartella Diretta,Cartella Base,HDD
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 21 - Tu.sei.tra.le.Persone.che.Devono.Sopravvivere.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 22 - Questo.è.il.Mio.Ultimo.Dovere.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 23 - Andiamo!.Questa.e'.l.ultima.Battaglia!.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 24 - Non.Potro'.Mai.Dimenticare.Questo.Preciso.Momento.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 25 - Saro'.Io.a.Compiere.le.tue.Ultime.Volonta'!.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
"[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 26 - Andiamo,.Compagni!.[MRADJ].mkv",748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 27 - Tutte.le.Luci.in.Cielo.Sono.Stelle.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
Abbronzatissimi 2 - Un anno dopo [1993] - Dvdrip - ITA - x264 - king76.mkv,2.2GB,FILM,,Arietty
Abbronzatissimi [1991] - Dvdrip - ITA - x264 - king76.mkv,1.5GB,FILM,,Arietty
Acapulco prima spiaggia a sinistra - 1983 - (Ita-1080p).mkv,7.4GB,FILM,,Arietty
Acqua e sapone (1983) WEBDL 1080p.mkv,3.7GB,FILM,,Arietty
Al.Bar.dello.Sport.(L.Banfi.1983).DVDRip.AVC.x264.AC3.ITA_Subs.^MF^.mkv,1.3GB,FILM,,Arietty
American History X-1998-BdRip-(1080p)-Italian DTS - English AAC - x264.mkv,8.0GB,FILM,,Arietty
Ano.Hana.ep.01.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Super.Busters.della.pace.mkv,573MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ano.Hana.ep.02.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.La.Valorosa.Menma.mkv,635MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ano.Hana.ep.03.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Il.circolo.Cerchiamo.Menma.mkv,604MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ano.Hana.ep.04.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Il.vestito.bianco.con.un.fiocco.mkv,584MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ano.Hana.ep.05.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Tunnel.mkv,584MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
"Ano.Hana.ep.06.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Dimenticami,.ma.non.dimenticarmi.mkv",635MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ano.Hana.ep.07.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Il.vero.desiderio.mkv,635MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ano.Hana.ep.08.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.I.wonder.mkv,543MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ano.Hana.ep.09.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Tutti.e.Menma.mkv,625MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ano.Hana.ep.10.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Fuochi.d'Artificio.mkv,645MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
